Z,Y,X
0.10310361718577266,3.580676172431042,1.5703033452141342
2.567228712625905,6.5363308068912,-0.37162218289734117
-1.0227828393768474,0.5668069283252515,-1.5084103056389546
0.4070525179517053,4.333150843078435,0.8307874525221232
4.4235691995230395,3.481694553183418,6.802593373792101
2.6632879159173615,2.3261820620747167,2.6247893103017024
1.519308224336109,0.46548392378487224,2.296712124708249
4.776324236227624,2.5440815071261267,7.363724611530112
2.6360422315771226,2.7165541166684704,1.969179163489788
3.2032534939545427,5.202836108771326,4.849022392353781
2.590126225692395,3.676472501873274,3.2855571099106835
2.01439941447225,2.460427796512241,2.938759190723174
2.0570126554158614,0.11536239525832692,7.50701924097136
2.446131735687568,3.4468166128936177,3.760704440180314
2.4257788862908076,1.4691016841443965,5.688737796740854
3.4585752509426464,3.4759213796040007,5.725890799123745
2.6637494631196335,1.5595302786799012,2.537509386772726
5.140141871749039,3.212785093215511,4.803627055560691
1.3587465783931765,5.4040961649735575,3.06178271526723
2.866359986674559,1.147237439047267,3.9183438419024625
2.85706962359949,1.544518387027641,6.326821282060767
5.288684518132486,4.198840674363085,10.080097753901194
2.6432386035845012,3.089476001491742,5.911296558009282
2.3759049999728474,3.348529454963514,4.878171351093852
1.8990175455900107,2.97802482780218,4.767527400110797
3.1626872390666945,1.4187054476934782,2.4760994252030426
0.38972896566205417,-0.7586987156792189,0.1913285291846885
2.0317825947924755,0.5822451486539848,4.703413952223907
3.2283332552445057,0.904679727567506,5.447791280855205
4.442323669485219,6.246771685025776,4.66675076042323
5.728031168024744,3.9578565530120757,7.84619335517162
2.1097630238726595,2.095098378976962,3.6828544794676046
3.5095688298791647,3.357489340371769,6.524640099382886
4.246986179518794,4.478637694328661,4.4778404527841715
3.6202060148688795,5.541023444798989,5.341506988880427
6.442116467044068,6.159277349082355,8.916261521990672
2.1673341268578508,3.8809356524825454,4.7108574521875095
1.4399796288405713,1.9928636894914877,2.404052507609613
2.543321713881362,0.7502107294881089,3.4215176272152195
2.5783847673238705,1.099063896644653,3.5179827125024237
4.202828977433548,5.274038929680757,5.875912496989354
3.2760909111750682,3.72299406789064,6.545169639392922
2.931744211536657,3.996045885700951,3.909807971486445
